2024-10-09,16:20:47.971,event1 start
2024-10-09,16:21:34.627,event2 start
2024-10-09,16:21:42.246,event1 end
2024-10-09,16:22:29.550,event2 end
2024-10-09,16:22:49.216,event3 start
2024-10-09,16:23:13.529,event3 end
2024-10-09,16:24:17.290,event4 start
2024-10-09,16:24:37.498,event4 end
2024-10-09,16:25:02.325,event5 start
2024-10-09,16:26:36.368,event5 end
2024-10-09,16:28:16.476,event6 start
2024-10-09,16:29:21.422,event7 start
2024-10-09,16:30:18.559,event7 end
2024-10-09,16:31:51.589,event8 start
2024-10-09,16:32:51.602,event9 start
2024-10-09,16:33:04.244,event8 end
2024-10-09,16:33:36.112,event9 end
2024-10-09,16:34:21.887,event10 start
2024-10-09,16:34:34.305,event10 end
2024-10-09,16:34:47.825,event11 start
2024-10-09,16:35:57.971,event11 end
2024-10-09,16:35:58.350,event12 start
2024-10-09,16:36:56.012,event12 end
2024-10-09,16:37:07.153,event13 start
2024-10-09,16:37:49.672,event13 end
2024-10-09,16:38:38.385,event14 start
2024-10-09,16:38:53.389,event14 end
2024-10-09,16:39:28.164,event15 start
2024-10-09,16:40:02.846,event16 start
2024-10-09,16:40:10.009,event17 start
2024-10-09,16:40:13.312,event16 end
2024-10-09,16:40:22.546,event15 end
2024-10-09,16:40:26.951,event17 end
2024-10-09,16:40:28.966,the end
2024-10-09,16:40:38.284,breakingRules: 0

