2024-10-09,15:34:56.569,event1 start
2024-10-09,15:35:42.102,event1 end
2024-10-09,15:36:22.383,event2 start
2024-10-09,15:37:43.366,event2 end
2024-10-09,15:38:02.929,event3 start
2024-10-09,15:38:24.710,event3 end
2024-10-09,15:40:16.452,event4 start
2024-10-09,15:40:34.972,event4 end
2024-10-09,15:41:26.618,event5 start
2024-10-09,15:42:47.457,event5 end
2024-10-09,15:45:35.658,event6 start
2024-10-09,15:50:25.428,event8 start
2024-10-09,15:51:03.464,event9 start
2024-10-09,15:51:14.689,event8 end
2024-10-09,15:51:57.441,event9 end
2024-10-09,15:53:10.706,event10 start
2024-10-09,15:53:21.742,event10 end
2024-10-09,15:53:34.557,event11 start
2024-10-09,15:55:09.293,event11 end
2024-10-09,15:55:09.713,event12 start
2024-10-09,15:56:01.347,event12 end
2024-10-09,15:56:11.639,event13 start
2024-10-09,15:56:59.709,event13 end
2024-10-09,15:58:05.870,event14 start
2024-10-09,15:58:57.342,event15 start
2024-10-09,15:59:36.249,event16 start
2024-10-09,15:59:39.759,event15 end
2024-10-09,15:59:46.005,event16 end
2024-10-09,15:59:49.391,event17 start
2024-10-09,16:00:03.095,event17 end
2024-10-09,16:00:11.280,the end

